medcodeid,OriginalReadCode,Term
1484968010,U60C9,Lipid-lowering drug adverse reaction
1488922018,U6099,Adverse reaction to bupropion
1488923011,U60CA,HMG COA reductase inhibitor adverse reaction
1785097012,TJC61,Adverse reaction to acebutolol
2159176018,U6048,Adverse reaction to clopidogrel
2161435016,TJ0yB,Adverse reaction to vancomycin
2161436015,TJ10,Adverse reaction to sulphonamides
2161437012,TJ100,Adverse reaction to sulphadiazine
2161438019,TJ101,Adverse reaction to sulphadimidine
2161442016,TJ221,Adverse reaction to oestradiol
2161446018,TJ223,Adverse reaction to conjugated oestrogens
2161448017,TJ400,Adverse reaction to ferrous sulphate
2161581018,TJ100-1,Adverse reaction to sulfadiazine
2164305011,TJ540,Adverse reaction to paracetamol
2164306012,TJ5y0,Adverse reaction to pentazocine
2164309017,TJ51,Adverse reaction to methadone
2164310010,TJ521,Adverse reaction to buprenorphine
2164317013,TJ303,Adverse reaction to metoclopramide
2164318015,TJF12,Adverse reaction to mebeverine
2164320017,TJ832,Adverse reaction to ketamine
2164321018,TJ834,Adverse reaction to propofol
2164325010,TJ81,Adverse reaction to halothane
2164329016,TJ850,Adverse reaction to cocaine
2164332018,TJ313,Adverse reaction to cyclophosphamide
2164338019,TJ073,Adverse reaction to mitomycin
2164341011,TJ31D,Adverse reaction to methotrexate
2164342016,TJ31C,Adverse reaction to mercaptopurine
2164347010,TJ31J,Adverse reaction to carboplatin
2164352017,TJHy1,Adverse reaction to tamoxifen
2164353010,TJ31S,Adverse reaction to cyclosporin
2164358018,TJ905,Adverse reaction to doxepin
2164359014,TJ907,Adverse reaction to lofepramine
2164360016,TJ908,Adverse reaction to nortriptyline
2164361017,TJ90A,Adverse reaction to trimipramine
2164362012,TJ902,Adverse reaction to clomipramine
2164364013,TJ904,Adverse reaction to dothiepin
2164365014,TJ906,Adverse reaction to imipramine
2164372010,TJ90C,Adverse reaction to mianserin
2164374011,TJ633,Adverse reaction to sodium valproate
2164375012,TJ704,Adverse reaction to phenobarbitone
2164376013,TJ631,Adverse reaction to primidone
2164377016,TJ632,Adverse reaction to carbamazepine
2164378014,TJ610,Adverse reaction to phenytoin
2164380015,TJ94C,Adverse reaction to clonazepam
2164385013,TJ940,Adverse reaction to nitrazepam
2164392015,TJ944,Adverse reaction to diazepam
2164393013,TJ949,Adverse reaction to lorazepam
2164394019,TJ942,Adverse reaction to temazepam
2164401018,TJ920,Adverse reaction to haloperidol
2164403015,TJ911,Adverse reaction to fluphenazine
2164404014,TJ910,Adverse reaction to chlorpromazine
2164405010,TJ915,Adverse reaction to promazine
2164406011,TJ916,Adverse reaction to thioridazine
2164408012,TJ914,Adverse reaction to prochlorperazine
2164409016,TJ90G,Adverse reaction to flupenthixol
2164416015,TJC64,Adverse reaction to metoprolol
2164417012,TJC65,Adverse reaction to nadolol
2164418019,TJC63,Adverse reaction to labetalol
2164421017,TJC67,Adverse reaction to sotalol
2164422012,TJC68,Adverse reaction to timolol
2164423019,TJB30,Adverse reaction to phenoxybenzamine
2164425014,TJB06,Adverse reaction to pilocarpine
2164433010,TJF70,Adverse reaction to salbutamol
2164434016,TJF11,Adverse reaction to orciprenaline
2164436019,TJB22,Adverse reaction to ephedrine
2164438018,TJB12,Adverse reaction to hyoscine
2164449012,TJ301,Adverse reaction to chlorpheniramine
2164451011,TJ950,Adverse reaction to hydroxyzine
2164452016,TJF74,Adverse reaction to sodium cromoglycate
2164463018,TJ340,Adverse reaction to penicillamine
2164464012,TJ01,Adverse reaction to antifungal antibiotics
2164465013,TJ011,Adverse reaction to griseofulvin
2164467017,TJ015,Adverse reaction to nystatin
2164468010,TJ012,Adverse reaction to ketoconazole
2164469019,TJ013,Adverse reaction to miconazole
2164476012,TJ14,Adverse reaction to antimalarials
2164479017,TJ140,Adverse reaction to chloroquine
2164480019,TJ142,Adverse reaction to proguanil hydrochloride
2164481015,TJ144,Adverse reaction to quinine
2164486013,TJ160,Adverse reaction to mebendazole
2164489018,TJ064,Adverse reaction to streptomycin
2164490010,TJG00,Adverse reaction to neomycin
2164494018,TJ0y9,Adverse reaction to sodium fusidate
2164496016,TJ00,Adverse reaction to penicillins
2164497013,TJ008,Adverse reaction to pivampicillin
2164500019,TJ00G,Adverse reaction to pivmecillinam
2164503017,TJ05,Adverse reaction to cephalosporin group
2164504011,TJ051,Adverse reaction to cefadroxil
2164505012,TJ057,Adverse reaction to cephalexin
2164508014,TJ05B,Adverse reaction to cephradine
2164509018,TJ050,Adverse reaction to cefaclor
2164511010,TJ052,Adverse reaction to cefotaxime
2164512015,TJ055,Adverse reaction to ceftazidime
2164515018,TJ0y6,Adverse reaction to clindamycin
2164517014,TJ153,Adverse reaction to metronidazole
2164518016,TJ04,Adverse reaction to tetracycline group
2164520018,TJ044,Adverse reaction to doxycycline
2164521019,TJ045,Adverse reaction to lymecycline
2164523016,TJ047,Adverse reaction to oxytetracycline
2164526012,TJ040,Adverse reaction to tetracycline
2164527015,TJ020,Adverse reaction to chloramphenicol
2164528013,TJ0yD,Adverse reaction to cotrimoxazole
2164534018,TJ063,Adverse reaction to rifampicin
2164537013,TJ184,Adverse reaction to dapsone
2164543010,TJ280,Adverse reaction to carbimazole
2164544016,TJ282,Adverse reaction to propylthiouracil
2164545015,TJ201,Adverse reaction to betamethasone
2164547011,TJ207,Adverse reaction to prednisone
2164548018,TJ203,Adverse reaction to cortisone acetate
2164550014,TJ202,Adverse reaction to dexamethasone
2164551013,TJ205,Adverse reaction to methylprednisolone
2164552018,TJ206,Adverse reaction to prednisolone
2164553011,TJ208,Adverse reaction to triamcinolone
2164555016,TJ233,Adverse reaction to glibenclamide
2164556015,TJ234,Adverse reaction to gliclazide
2164557012,TJ235,Adverse reaction to glipizide
2164562013,TJ23A,Adverse reaction to metformin hydrochloride
2164564014,TJ22A,Adverse reaction to progesterone
2164565010,TJ229,Adverse reaction to norethisterone
2164571016,TJ212,Adverse reaction to testosterone
2164575013,TJ251,Adverse reaction to desmopressin
2164587018,TJ42,Adverse reaction to anticoagulants
2164588011,TJ420,Adverse reaction to heparin
2164589015,TJ422,Adverse reaction to nicoumalone
2164590012,TJ423,Adverse reaction to phenindione
2164592016,TJ452,Adverse reaction to tranexamic acid
2164593014,TJ401,Adverse reaction to ferrous fumarate
2164594015,TJ402,Adverse reaction to ferrous gluconate
2164598017,TJ43,Adverse reaction to vitamin K
2164599013,TJ410,Adverse reaction to hydroxocobalamin
2164600011,TJ411,Adverse reaction to cyanocobalamin
2164601010,TJE30,Adverse reaction to bendrofluazide
2164604019,TJE33,Adverse reaction to hydrochlorothiazide
2164608016,TJE40,Adverse reaction to chlorthalidone
2164614011,TJ440,Adverse reaction to streptokinase
2476209018,TJ5-1,Adverse reaction to analgesics
2476218016,TJ31S-1,Adverse reaction to ciclosporin
2476222014,TJ704-1,Adverse reaction to phenobarbital
2476244016,TJF74-1,Adverse reaction to sodium cromoglicate
2476252018,TJ003-1,Adverse reaction to amoxicillin
2476255016,TJ057-1,Adverse reaction to cefalexin
2476259010,TJ05B-1,Adverse reaction to cefradine
2579309011,TJ564,Adverse reaction to flurbiprofen
2579310018,TJ565-1,Adverse reaction to indometacin
2579311019,TJ565,Adverse reaction to indomethacin
2579697013,TJ046,Adverse reaction to minocycline
2579699011,TJ204,Adverse reaction to hydrocortisone
2579700012,TJ030,Adverse reaction to erythromycin
2579704015,TJF24,Adverse reaction to suxamethonium
8.1871E+13,SP3X,Unspecified adverse effect of drug or medicament
3.50731E+14,U60G0-8,[X] Adverse react to local anti-infective/inflammatory NOS
3.50791E+14,U601y-B,[X] Adverse react to quinolone + hydroxyquinoline derivs NOS
3.50841E+14,U60E2-2,[X] Adverse reaction to acetazolamide
3.50871E+14,U60F4-2,[X] Adverse reaction to acetylcysteine
3.50901E+14,U6015-2,[X] Adverse reaction to acyclovir
3.50921E+14,U6020-1,[X] Adverse reaction to adrenal cortical steroid
3.50941E+14,U60B5-1,Adverse reaction to adrenaline
3.51011E+14,U60E8-3,Allopurinol adverse reaction
3.51061E+14,U60E5-B,Amiloride adverse reaction
3.51081E+14,U60F6-4,[X] Adverse reaction to aminophylline
3.51091E+14,U6090-1,Amitriptyline adverse reaction
3.51101E+14,U6000-5,[X] Adverse reaction to amoxicillin
3.51121E+14,U6000-6,[X] Adverse reaction to ampicillin
3.51141E+14,U6084-1,[X] Adverse reaction to anaesthetic
3.51171E+14,U6056-1,[X] Adverse reaction to analgesics
3.51181E+14,U6027-8,[X] Adverse reaction to androgen or anabolic steroid NOS
3.51301E+14,U600-1,Antibacterial drug adverse reaction
3.51311E+14,U600z-1,[X] Adverse reaction to antibiotic NOS
3.51351E+14,U6042-1,[X] Adverse reaction to anticoagulants
3.51381E+14,U6092-1,[X] Adverse reaction to antidepressant
3.51471E+14,U6030-2,[X] Adverse reaction to antihistamines
3.51481E+14,U60C5-A,[X] Adverse reaction to antihypertensives NOS
3.51771E+14,U6051-2,[X] Adverse reaction to aspirin
3.51781E+14,U60B7-5,[X] Adverse reaction to atenolol
3.51791E+14,U60B3-3,[X] Adverse reaction to atropine
3.51841E+14,U6034-1,Azathioprine adverse reaction
3.51931E+14,U60E3-2,Bendroflumethiazide adverse reaction
3.51981E+14,U60B7-1,[X] Adverse reaction to betablockers
3.51991E+14,U60B7-C,[X] Adverse reaction to betablockers NOS
3.52021E+14,U60C6-4,Bezafibrate adverse reaction
3.52041E+14,U60D2-2,[X] Adverse reaction to bisacodyl
3.52141E+14,U6050-5,[X] Adverse reaction to buprenorphine
3.52241E+14,U60C4-1,[X] Adverse reaction to captopril
3.52261E+14,U6064-1,[X] Adverse reaction to carbamazepine
3.52281E+14,U6022-2,[X] Adverse reaction to carbimazole
3.52421E+14,U6001-2,[X] Adverse reaction to cefaclor
3.52431E+14,U6001-3,[X] Adverse reaction to cefadroxil
3.52471E+14,U6001-7,[X] Adverse reaction to ceftazidime
3.52511E+14,U6001-9,[X] Adverse reaction to cefalexin
3.52521E+14,U6001-1,[X] Adverse reaction to cephalosporin group
3.52531E+14,U6001-E,[X] Adverse reaction to cephalosporin NOS
3.52571E+14,U6001-D,[X] Adverse reaction to cefradine
3.52631E+14,U6002-2,[X] Adverse reaction to chloramphenicol
3.52641E+14,U6002-1,[X] Adverse reaction to chloramphenicol group
3.52701E+14,U6012-2,[X] Adverse reaction to chloroquine
3.52731E+14,U6030-3,Chlorphenamine adverse reaction
3.52741E+14,U6093-2,[X] Adverse reaction to chlorpromazine
3.52821E+14,U600y-2,Ciprofloxacin adverse reaction
3.52841E+14,U600y-4,[X] Adverse reaction to clindamycin
3.52891E+14,U6090-3,[X] Adverse reaction to clomipramine
3.52911E+14,U6071-E,[X] Adverse reaction to clonazepam
3.52921E+14,U60C5-4,Clonidine adverse reaction
3.53001E+14,U6050-6,[X] Adverse reaction to codeine phosphate
3.53011E+14,U60E8-2,Colchicine adverse reaction
3.53031E+14,U6025-D,Estrogen and progestogen preparation adverse reaction
3.53091E+14,U600y-6,[X] Adverse reaction to cotrimoxazole
3.53171E+14,U6034-3,[X] Adverse reaction to ciclosporin
3.53261E+14,U6020-2,[X] Adverse reaction to dexamethasone
3.53311E+14,U6050-1,Adverse reaction to diamorphine
3.53321E+14,U6071-6,[X] Adverse reaction to diazepam
3.53361E+14,U6053-5,[X] Adverse reaction to diclofenac sodium
3.53411E+14,U60C0-2,[X] Adverse reaction to digoxin
3.53421E+14,U6050-8,Dihydrocodeine adverse reaction
3.53501E+14,U60C3-6,[X] Adverse reaction to dipyridamole
3.53521E+14,U60E5-F,[X] Adverse reaction to diuretic NOS
3.53531E+14,U6090-5,Dosulepin adverse reaction
3.53571E+14,U6004-6,[X] Adverse reaction to doxycycline
3.53581E+14,U60H9-2,[X] Adverse reaction to drug NOS
3.53591E+14,U60H9-1,[X] Adverse reaction to drug or medicinal substance NOS
3.53681E+14,U60C4-2,[X] Adverse reaction to enalapril
3.53741E+14,U6003-2,[X] Adverse reaction to erythromycin
3.53891E+14,U60G5-1,[X] Adverse reaction to eye drugs
3.53941E+14,U6040-3,[X] Adverse reaction to ferrous fumarate
3.53951E+14,U6040-4,[X] Adverse reaction to ferrous gluconate
3.53981E+14,U6040-2,[X] Adverse reaction to ferrous sulphate
3.54021E+14,U6000-4,Flucloxacillin adverse reaction
3.54101E+14,U6041-4,Folic acid adverse reaction
3.54131E+14,U60E4-1,Furosemide adverse reaction
3.54221E+14,U6084-2,Adverse reaction to general anaesthetic
3.54231E+14,U6005-1,Gentamicin adverse reaction
3.54251E+14,U6023-6,[X] Adverse reaction to gliclazide
3.54311E+14,U60C3-2,Glyceryl trinitrate adverse reaction
3.54371E+14,U6094-2,[X] Adverse reaction to haloperidol
3.54411E+14,U6042-2,[X] Adverse reaction to heparin
3.54501E+14,U60C5-2,[X] Adverse reaction to hydralazine
3.54521E+14,U6020-4,[X] Adverse reaction to hydrocortisone
3.54551E+14,U6041-2,[X] Adverse reaction to hydroxocobalamin
3.54581E+14,U609z-2,[X] Adverse reaction to hydroxyzine
3.54591E+14,U60B3-7,[X] Adverse reaction to hyoscine
3.54601E+14,U6052-1,[X] Adverse reaction to ibuprofen
3.54621E+14,U6090-7,[X] Adverse reaction to imipramine
3.54631E+14,U6053-2,[X] Adverse reaction to indometacin
3.54701E+14,U6022-3,Iodine adverse reaction
3.54721E+14,U60F6-3,[X] Adverse reaction to ipratropium bromide
3.54731E+14,U6040-1,[X] Adverse reaction to iron and iron compounds
3.54841E+14,U60C3-4,Isosorbide mononitrate adverse reaction
3.54881E+14,U6082-2,[X] Adverse reaction to ketamine
3.54901E+14,U60G0-2,[X] Adverse reaction to ketoconazole
3.54911E+14,U6052-5,[X] Adverse reaction to ketoprofen
3.54921E+14,U60B7-6,[X] Adverse reaction to labetolol
3.54931E+14,U60D3-1,[X] Adverse reaction to lactulose
3.55071E+14,U60G2-1,[X] Adverse reaction to local astringents & local detergents
3.55081E+14,U6090-8,[X] Adverse reaction to lofepramine
3.55101E+14,U60D6-4,[X] Adverse reaction to loperamide
3.55111E+14,U6071-B,[X] Adverse reaction to lorazepam
3.55121E+14,U6004-7,[X] Adverse reaction to lymecycline
3.55151E+14,U6003-1,Adverse reaction to macrolide group
3.55161E+14,U6003-5,[X] Adverse reaction to macrolide NOS
3.55251E+14,U6096-2,[X] Adverse reaction to marijuana
3.55271E+14,U6014-2,[X] Adverse reaction to mebendazole
3.55281E+14,U60B3-8,[X] Adverse reaction to mebeverine
3.55321E+14,U6053-4,[X] Adverse reaction to mefenamic acid
3.55381E+14,U6031-3,[X] Adverse reaction to mercaptopurine
3.55471E+14,U6023-C,[X] Adverse reaction to metformin hydrochloride
3.55511E+14,U6068-4,[X] Adverse reaction to methocarbamol
3.55531E+14,U6031-4,[X] Adverse reaction to methotrexate
3.55551E+14,U60C5-5,Methyldopa adverse reaction
3.55591E+14,U6030-5,[X] Adverse reaction to metoclopramide
3.55601E+14,U60B7-7,[X] Adverse reaction to metoprolol
3.55611E+14,U601y-C,[X] Adverse reaction to metronidazole
3.55641E+14,U60G0-3,[X] Adverse reaction to miconazole
3.55651E+14,U6004-8,[X] Adverse reaction to minocycline
3.55691E+14,U6050-4,Morphine adverse reaction
3.55771E+14,U6052-6,[X] Adverse reaction to naproxen
3.55811E+14,U6005-6,[X] Adverse reaction to neomycin sulphate
3.55861E+14,U60C1-1,Nifedipine adverse reaction
3.55891E+14,U601y-F,Nitrofurantoin adverse reaction
3.55911E+14,U6053-1,Adverse reaction to non-steroidal anti-inflammatory drug
3.55941E+14,U6025-B,[X] Adverse reaction to norethisterone
3.55951E+14,U6090-9,[X] Adverse reaction to nortriptyline
3.55961E+14,U6007-4,[X] Adverse reaction to nystatin
3.55971E+14,U6025-3,[X] Adverse reaction to estradiol
3.55981E+14,U6025-4,[X] Adverse reaction to estriol
3.56021E+14,U6050-C,Opioid analgesic adverse reaction
3.56191E+14,U60H8-1,[X] Adverse reaction to other drug or medicine NOS
3.56201E+14,U60H-1,[X] Adverse reaction to other drugs and medicines
3.56301E+14,U6050-3,[X] Adverse reaction to other opiates and related narcotics
3.56441E+14,U6004-9,[X] Adverse reaction to oxytetracycline
3.56531E+14,U6055-2,[X] Adverse reaction to paracetamol
3.56651E+14,U60H2-1,[X] Adverse reaction to penicillamine
3.56661E+14,U6000-J,[X] Adverse reaction to penicillin NOS
3.56671E+14,U6000-1,Penicillin adverse reaction
3.56771E+14,U6050-B,Pethidine analogue adverse reaction
3.56821E+14,U6070-6,[X] Adverse reaction to phenobarbital
3.56851E+14,U60C7-2,[X] Adverse reaction to phenoxybenzamine
3.56891E+14,U6062-2,[X] Adverse reaction to phenytoin
3.56961E+14,U6053-3,[X] Adverse reaction to piroxicam
3.56981E+14,U6000-I,[X] Adverse reaction to pivmecillinam
3.57071E+14,U60C6-6,Adverse reaction caused by pravastatin
3.57091E+14,U6020-6,[X] Adverse reaction to prednisolone
3.57101E+14,U6020-7,[X] Adverse reaction to prednisone
3.57161E+14,U6066-3,[X] Adverse reaction to primidone
3.57221E+14,U6093-6,[X] Adverse reaction to prochlorperazine
3.57231E+14,U6025-C,[X] Adverse reaction to progesterone
3.57261E+14,U6093-A,Promethazine adverse reaction
3.57271E+14,U6081-5,[X] Adverse reaction to propofol
3.57281E+14,U60B7-2,Propranolol adverse reaction
3.57501E+14,U6012-6,[X] Adverse reaction to quinine
3.57531E+14,U60C4-3,[X] Adverse reaction to ramipril
3.57551E+14,U6011-4,[X] Adverse reaction to rifampicin
3.57581E+14,U60F6-2,[X] Adverse reaction to salbutamol
3.57601E+14,U6051-1,[X] Adverse reaction to salicylates
3.57661E+14,U60D2-7,[X] Adverse reaction to senna
3.57671E+14,U60C6-5,[X] Adverse reaction to simvastatin
3.57771E+14,U60F6-6,[X] Adverse reaction to sodium cromoglicate
3.57791E+14,U6065-1,[X] Adverse reaction to sodium valproate
3.57811E+14,U60B7-A,[X] Adverse reaction to sotalol
3.57861E+14,U60E5-C,Spironolactone adverse reaction
3.57891E+14,U6011-5,[X] Adverse reaction to streptomycin
3.57921E+14,U6010-2,[X] Adverse reaction to sulphadiazine
3.57961E+14,U6010-5,[X] Adverse reaction to sulfamethoxazole
3.57991E+14,U6010-8,Sulphonamide adverse reaction
3.58001E+14,U6010-1,[X] Adverse reaction to sulphonamides
3.58031E+14,U60F1-6,[X] Adverse reaction to suxamethonium
3.58101E+14,U6026-1,[X] Adverse reaction to tamoxifen
3.58111E+14,U6071-4,[X] Adverse reaction to temazepam
3.58151E+14,U60K3-2,[X] Adverse reaction to tetanus antitoxin
3.58201E+14,U6004-2,[X] Adverse reaction to tetracycline
3.58211E+14,U6004-1,[X] Adverse reaction to tetracycline group
3.58221E+14,U6004-A,[X] Adverse reaction to tetracycline NOS
3.58241E+14,U60F6-9,Theophylline adverse reaction
3.58281E+14,U60E3-9,[X] Adverse reaction to thiazide NOS
3.58291E+14,U60E3-1,[X] Adverse reaction to thiazides
3.58371E+14,U6021-3,[X] Adverse reaction to levothyroxine sodium
3.58391E+14,U60B7-B,[X] Adverse reaction to timolol
3.58441E+14,U6043-7,[X] Adverse reaction to tranexamic acid
3.58571E+14,U601y-I,[X] Adverse reaction to trimethoprim
3.58661E+14,U6024-1,[X] Adverse reaction to unspecified oral contraceptive
3.58761E+14,U60C1-2,Verapamil adverse reaction
3.58811E+14,U60E7-2,[X] Adverse reaction to vitamin D
3.58861E+14,U6042-3,[X] Adverse reaction to warfarin sodium
3.58901E+14,U60C8-3,[X] Adverse reaction to zinc salt
3.59021E+14,U60G0-4,[X] Local adverse reaction to neomycin
3.59301E+14,U6055,Para-aminophenol derivative adverse reaction
3.63011E+14,U60B6,Alpha-adrenoceptor blocking drug adverse reaction
3.63051E+14,U6005,Aminoglycosides adverse reaction
3.63261E+14,U60C4,Angiotensin-converting-enzyme inhibitor adverse reaction
3.63421E+14,U6042,[X]Anticoagulant causing adverse effects in therapeutic use
3.63461E+14,U6026,"[X]Antigonadotrophins, antioestrogens, antiandrogens causing adverse effects in therapeutic use, not elswhere classified"
3.63481E+14,U60C6,[X]Antihyperlipidaemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use
3.63511E+14,U6031,Antimetabolite adverse reaction
3.63761E+14,U60H0,Centrally acting appetite suppressant adverse reaction
3.63771E+14,U60-1,[X]AR-Adverse react to drugs/medicines/biolog substances
3.67021E+14,U6071,Benzodiazepine sedative adverse reaction
3.69121E+14,U60C1,Calcium-channel blocker adverse reaction
3.70251E+14,U60C0,Cardiac inotropic agent adverse reaction
3.70891E+14,U6002,[X]Chloramphen group caus adverse effects in therapeut use
3.75751E+14,U60C3,Adverse reaction to coronary vasodilator
3.79351E+14,U60,[X]Drugs/meds/biol subs caus adverse effects in therap use
3.88851E+14,U60D0,H2 receptor antagonist adverse reaction
3.91111E+14,U6023,Adverse reaction to antidiabetic drug
3.95331E+14,U60E4,Loop diuretic adverse reaction
4.04481E+14,U6095,[X]Other antipsychotics and neuroleptics causing adverse effects in therapeutic use
4.04881E+14,U6053,Non-steroidal anti-inflammatory drug adverse reaction
4.04901E+14,U6025,[X]Oth oestrog/progestogens caus adverse eff in therap use
4.05121E+14,U601y,[X]Other specified systemic anti-infectives and antiparasitics causing adverse effects in therapeutic use
4.09681E+14,U60E5,[X]Other diuretics caus adverse effects in therapeutic use
4.16861E+14,U600y,[X]Other systemic antibiotics causing adverse effects in therapeutic use
4.20601E+14,U6093,Phenothiazine adverse reaction
4.23651E+14,U6052,Propionic acid derivative adverse reaction
4.28561E+14,U600,[X]Systemic antibiotics causing adverse effects in therapeutic use
4.28651E+14,U6008,Teicoplanin adverse reaction
4.28871E+14,U60GA,Topical hydrocortisone adverse reaction
4.29581E+14,U6090,Antidepressant drug adverse reaction
4.30501E+14,U60H9,[X]Unspecif drug/medic caus adverse effects in therap use
4.64181E+14,SN52-1,Adverse drug reaction
4.64251E+14,TJE20,Acetazolamide adverse reaction
4.64281E+14,TJF50,Acetylcysteine adverse reaction
4.64291E+14,TJ170,Aciclovir adverse reaction
4.64341E+14,TJ20,Adverse reaction to adrenal cortical steroids
4.64351E+14,TJB20,"Adverse reaction to adrenalin, epinephrine"
4.64421E+14,TJE71,Adverse reaction to allopurinol
4.64451E+14,TJ640,Amantadine adverse reaction
4.64471E+14,TJE43,Adverse reaction to amiloride
4.64491E+14,TJF72,Aminophylline adverse reaction
4.64501E+14,TJ900,Adverse reaction to amitriptyline
4.64511E+14,TJ003,Adverse reaction to amoxycillin
4.64521E+14,TJ010,Amphotericin adverse reaction
4.64531E+14,TJ004,Ampicillin adverse reaction
4.64571E+14,TJ5z,"Adverse reaction to analgesic,antipyretic,antirheumatic NOS"
4.64591E+14,TJ5,"Adverse reaction to analgesics, antipyretics, antirheumatics"
4.64611E+14,TJ21,Androgen adverse reaction
4.64631E+14,TJD0z,Adverse reaction to antacids/antigastric secretion drugs NOS
4.64741E+14,TJ0,Antibacterial drug adverse reaction
4.64821E+14,TJ6,Adverse reaction to anticonvulsants/anti-parkinsonism drugs
4.64831E+14,TJ90,Adverse reaction to antidepressant
4.64941E+14,TJC2,Adverse reaction to antilipaemic/anti-arteriosclerotic drugs
4.64951E+14,TJC2z,Adverse reaction to antilipaemic/antiarterioscler drugs NOS
4.65121E+14,TJ56,Adverse reaction to antirheumatic
4.65251E+14,TJ53-1,Aspirin adverse reaction
4.65261E+14,TJC62,Atenolol adverse reaction
4.65271E+14,TJB10,Atropine adverse reaction
4.65321E+14,TJ31Q,Adverse reaction to azathioprine
4.65381E+14,TJ70,Adverse reaction to barbiturates
4.65411E+14,U6083-3,Lidocaine adverse reaction
4.65471E+14,TJC6,Adverse reaction to beta-blockers
4.65481E+14,TJC6z,Adverse reaction to betablockers NOS
4.65511E+14,TJC22,Adverse reaction to bezafibrate
4.65531E+14,TJD10,Bisacodyl adverse reaction
4.65741E+14,TJC77,Captopril adverse reaction
4.65871E+14,TJCz,Adverse reaction to cardiovascular system drug NOS
4.65881E+14,TJC,Drug groups primarily affecting cardiovascular system adverse reaction
4.66151E+14,TJ02,Chloramphenicol adverse reaction
4.66311E+14,TJC20,Cholestyramine adverse reaction
